"GeneID","SRR1568262","SRR1568263","SRR1568264","SRR6311328","SRR6311361","SRR6311362","SRR6311363","SRR6311364","SRR6311365","SRR6311366","SRR6311393","SRR6311394","SRR6311395","SRR6311396"
"AAEL020532","1","2","3","2","0","1","3","0","0","0","4","3","2","0"
"AAEL027741","4","3","2","0","0","0","0","0","0","0","0","0","0","0"
"AAEL012102","122","124","122","58","70","113","165","93","32","159","252","97","73","204"
"AAEL012106","9","11","8","98","9","3","2","14","4","0","170","83","1","11"
"AAEL012094","644","721","667","1293","718","961","1300","1460","884","1073","5165","4530","1932","2667"
"AAEL021681","0","0","0","43","0","0","0","3","1","0","2","6","0","6"
"AAEL012098","43","23","73","449","117","126","0","0","0","1","506","411","0","3"
"AAEL012109","9","8","14","0","35","19","0","0","3","0","19","11","2","23"
"AAEL012104","10","80","10","0","8","20","65","17","18","43","12","22","19","28"
"AAEL026799","31","30","21","0","2","15","8","24","21","18","105","126","3","18"
"AAEL012103","6","10","3","279","22","177","66","88","40","43","9","14","43","78"
"AAEL017167","1","0","0","0","4","44","4","18","0","0","46","21","3","3"
"AAEL012110","0","1","0","1158","385","445","44","75","77","78","10","6","1","515"
"AAEL012101","2","1","1","83","27","12","57","106","40","84","11","0","3","0"
"AAEL012107","331","223","446","0","7","0","0","0","0","4","4137","2991","311","491"
"AAEL012095","338","504","358","1947","512","435","971","828","678","829","822","1000","1669","2127"
"AAEL012105","23","45","28","132","27","123","77","140","62","129","261","300","198","711"
"AAEL012096","1","2","2","47","2","4","0","2","2","3","2","1","1469","3205"
"AAEL012099","2","2","4","288","69","176","97","59","74","101","42","31","59","359"
"AAEL027035","4","3","2","0","0","0","0","0","0","0","133","122","7","4"
"AAEL012100","275","338","318","127","15","51","75","84","82","171","902","1082","301","283"
"AAEL022538","25","37","24","862","173","421","30","69","8","15","273","190","46","110"
"AAEL014130","157","145","220","246","109","178","130","211","98","143","444","424","612","1111"
"AAEL014134","51","44","49","0","9","22","0","0","6","0","9","27","3","0"
"AAEL025548","11","8","9","32","1","0","14","0","4","0","22","14","33","8"
"AAEL021855","0","1","0","0","0","0","0","0","0","0","8","28","7","24"
"AAEL026394","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL025713","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL017048","0","1","0","0","0","0","0","0","0","0","7","14","22","89"
"AAEL023318","1","0","0","0","0","0","0","0","2","0","0","0","23","40"
"AAEL012796","2","3","3","1","12","43","16","0","13","8","22","19","32","48"
"AAEL011388","37","38","34","1","7","3","25","16","16","23","46","18","196","217"
"AAEL020295","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL011390","25","39","47","83","52","40","64","86","41","69","306","330","226","360"
"AAEL011377","1","5","3","26","14","4","5","7","7","15","35","25","20","11"
"AAEL011381","128","142","123","14587","8923","7117","5086","7123","4057","5456","2938","5442","5992","9820"
"AAEL011389","18","29","22","1","23","15","49","36","40","47","60","90","84","90"
"AAEL011382","107","143","149","0","29","0","72","79","96","103","170","261","400","348"
"AAEL025124","2","1","2","0","0","0","0","0","0","0","60","46","0","0"
"AAEL013369","34","22","35","53","15","17","115","96","69","71","838","736","184","328"
"AAEL011386","19","52","30","98","54","57","67","77","51","95","48","62","86","112"
"AAEL011383","60","37","67","38","5","16","108","93","57","115","601","608","858","1136"
"AAEL011379","11","9","15","179","57","32","186","283","188","186","154","143","212","354"
"AAEL011385","10","9","31","73","5","63","29","37","22","46","70","139","114","93"
"AAEL012233","776","1115","995","117","21","19","44","19","27","40","217","323","71","84"
"AAEL019446","8","5","13","2","5","34","32","21","17","42","117","228","88","87"
"AAEL024873","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"AAEL005278","0","0","0","0","3","9","1","6","7","4","1","14","23","49"
"AAEL005279","27","33","33","0","11","2","13","8","19","37","105","45","53","110"
"AAEL005281","204","159","217","0","10","62","74","30","36","52","206","338","196","250"
"AAEL005271","136","98","151","245","50","17","80","50","55","54","111","136","207","226"
"AAEL023272","4","6","8","0","0","0","0","0","0","0","5","1","2","0"
"AAEL023010","0","3","1","0","0","0","0","0","0","0","33","35","1","5"
"AAEL005266","597","229","608","137","52","52","720","979","543","739","338","522","473","361"
"AAEL005254","55","45","60","206","82","113","101","148","66","117","262","413","426","588"
"AAEL025726","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL005261","385","478","440","1164","275","378","590","609","325","384","1132","1165","1187","2377"
"AAEL011201","84","93","57","248","11","26","9","48","8","2","64","60","1","8"
"AAEL019866","251","456","370","194","56","58","123","103","26","61","104","147","181","270"
"AAEL011196","28","64","34","108","45","20","75","41","49","67","211","319","203","283"
"AAEL011206","6","5","9","171","92","67","1380","1186","648","962","48","274","73","269"
"AAEL022464","0","1","1","0","0","0","1","0","0","0","0","0","0","0"
"AAEL011200","56","42","44","68","28","53","179","310","168","171","162","187","110","146"
"AAEL027070","3","0","2","0","0","0","0","2","0","0","78","38","0","12"
"AAEL023568","5","5","5","0","0","0","0","1","0","1","8","8","8","0"
"AAEL011199","58","31","62","134","19","24","49","69","33","27","226","354","152","220"
"AAEL011202","591","388","660","2","76","128","359","425","222","337","418","613","445","561"
"AAEL028222","4","5","3","0","3","6","0","11","0","0","5","2","3","18"
"AAEL011197","4920","4452","5607","35830","18262","18769","11411","18266","10183","12219","3256","4728","14290","15607"
"AAEL023161","3","0","1","0","1","0","0","1","0","0","0","0","7","15"
"AAEL026435","0","0","0","0","0","3","0","0","0","0","0","0","41","16"
"AAEL023562","4","3","2","0","0","1","1","1","1","0","15","8","40","68"
"AAEL011198","44","47","46","69","57","44","86","125","102","172","208","286","367","368"
"AAEL011204","113","131","167","331","90","148","57","34","49","55","93","123","106","82"
"AAEL011203","2","3","0","9","19","24","31","159","41","61","7","10","24","52"
"AAEL028219","3","2","3","0","0","0","1","0","0","0","0","3","7","0"
"AAEL009762","2","0","1","124","29","14","1","0","1","0","5","3","16","20"
"AAEL009764","11","16","25","249","95","143","944","782","686","485","105","140","118","163"
"AAEL009767","51","46","66","1","34","1","21","29","13","9","80","124","94","95"
"AAEL009769","16","21","22","1","4","5","24","16","32","35","72","90","47","25"
"AAEL009765","77","55","125","342","86","122","19","43","39","25","113","225","77","67"
"AAEL009766","53","50","62","146","90","41","303","305","214","351","83","105","64","91"
"AAEL009763","0","0","0","0","2","30","0","0","0","0","10","1","0","15"
"AAEL000250","0","1","0","0","5","0","1","0","0","0","0","0","1","4"
"AAEL000254","0","1","0","104","26","27","11","3","1","38","5","3","1","0"
"AAEL000230","12","7","11","3","32","24","79","55","13","66","360","301","40","90"
"AAEL019737","650","752","769","594","191","471","266","320","144","225","361","576","429","545"
"AAEL000223","0","0","0","0","1","0","1","3","0","0","1","0","2","8"
"AAEL000241","86","74","98","56","22","1","102","125","71","75","261","231","181","205"
"AAEL024733","0","0","0","0","0","5","3","0","0","3","2","0","0","0"
"AAEL000242","2","1","1","251","86","306","16","34","12","39","22","44","4","56"
"AAEL024531","0","0","0","0","0","0","0","0","0","0","0","0","2","9"
"AAEL021157","2","0","0","0","2","18","0","1","0","0","0","0","5","1"
"AAEL000249","0","0","0","349","167","100","2","6","0","6","15","10","3","12"
"AAEL000247","1","1","1","0","1","0","0","0","1","1","13","48","436","329"
"AAEL000231","37","49","68","113","60","24","123","217","166","169","162","369","197","282"
"AAEL000219","33","65","44","518","204","298","318","346","195","239","748","652","230","535"
"AAEL000244","1","2","3","1","8","13","21","80","71","118","8","8","200","297"
"AAEL000251","0","4","0","64","2","109","5","0","0","0","0","1","11","14"
"AAEL000239","0","2","4","0","13","40","5","0","4","2","4","1","1","28"
"AAEL022677","0","0","0","0","0","0","0","0","0","0","0","1","43","158"
"AAEL000229","0","0","0","1","57","139","1","0","0","2","12","10","0","16"
"AAEL026268","0","1","1","0","0","0","0","1","0","0","2","1","31","93"
"AAEL000243","2","0","1","0","2","15","10","4","0","0","0","0","50","91"
"AAEL000252","0","0","3","0","5","0","2","0","1","0","1","7","0","2"
"AAEL023861","0","0","0","0","0","0","0","0","0","0","0","0","17","58"
"AAEL005530","8","9","9","314","169","188","284","830","391","415","53","90","79","85"
"AAEL023500","65","64","58","802","177","272","193","340","222","312","459","303","253","376"
"AAEL005527","94","72","101","1","55","19","51","75","55","118","133","281","199","602"
"AAEL005515","8547","7835","8875","1941","877","1423","5052","3920","2424","3786","6077","7396","5029","5711"
"AAEL005528","1910","1903","2100","745","132","211","638","828","396","617","1011","2371","1034","1811"
"AAEL025436","272","273","315","0","4","7","1","6","7","9","1","0","0","9"
"AAEL018059","198","265","259","51","3","6","31","30","11","13","24","47","19","121"
"AAEL005520","35","51","52","87","483","121","208","337","280","240","418","491","200","286"
"AAEL022943","0","1","0","0","0","0","0","2","0","0","1","0","0","0"
"AAEL005522","333","245","402","89","39","29","100","95","60","100","144","277","297","416"
"AAEL005524","172","293","184","2818","1147","1988","430","876","343","664","144","542","372","739"
"AAEL005521","78","107","92","75","32","31","220","196","97","89","61","153","206","460"
"AAEL025076","0","1","1","33","9","22","3","0","0","1","7","18","0","25"
"AAEL027790","12","14","9","271","56","138","290","453","194","198","7","24","35","5"
"AAEL026500","2","1","2","0","0","0","0","0","0","1","0","0","0","0"
"AAEL027456","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL020837","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"AAEL020980","3","5","1","2","0","0","0","0","0","0","0","0","0","1"
"AAEL005526","186","146","256","22","29","37","93","96","68","66","105","204","225","159"
"AAEL024086","1","0","2","42","5","0","1","4","0","13","0","0","0","7"
"AAEL005518","10","9","7","59","13","13","76","42","21","67","19","61","71","151"
"AAEL027542","3","2","1","0","0","0","0","0","1","5","8","1","3","9"
"AAEL002357","3","2","0","35","18","69","0","0","3","2","6","2","154","200"
"AAEL022760","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL002346","576","673","628","154","33","148","68","57","37","45","164","198","101","148"
"AAEL002321","0","7","2","5","7","9","7","6","2","2","6","18","31","19"
"AAEL024855","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"AAEL027240","1","0","0","70","103","118","20","33","4","17","192","194","75","80"
"AAEL023649","0","0","0","0","5","5","9","0","1","0","16","22","7","6"
"AAEL020042","2","4","9","125","41","83","62","68","26","42","71","95","277","397"
"AAEL002335","15","40","9","0","0","10","14","11","21","30","24","8","52","46"
"AAEL002348","4","20","11","23","11","9","21","4","7","22","36","12","43","67"
"AAEL028030","0","1","2","0","0","5","7","0","0","0","11","4","3","0"
"AAEL018057","84","47","107","233","170","195","53","87","37","86","125","174","296","245"
"AAEL022777","4","1","0","0","0","0","0","0","0","0","11","4","5","2"
"AAEL002343","0","0","1","0","0","0","10","23","6","27","14","3","0","17"
"AAEL019424","175","150","214","125","30","118","86","94","37","69","59","45","121","125"
"AAEL002331","10","11","13","188","68","65","234","212","126","174","84","126","128","217"
"AAEL002354","4","5","4","4148","1282","2143","24","90","35","8","8","5","31","33"
"AAEL024537","0","0","0","0","0","0","0","0","0","0","0","0","2","3"
"AAEL004167","231","184","245","18","17","18","27","43","12","16","12","33","24","36"
"AAEL019821","6","4","5","139","11","14","0","0","0","0","1","6","60","150"
"AAEL007657","254","89","496","0","2","1","0","0","0","0","165","245","0","16"
"AAEL021777","0","1","1","0","0","0","0","0","0","0","1","1","0","0"
"AAEL007661","15","12","14","0","10","1","3","21","2","8","53","82","78","84"
"AAEL007662","1125","2030","1284","2317","779","1596","792","649","348","477","1012","1672","4075","7661"
"AAEL007652","42","43","70","0","12","14","30","50","31","70","141","130","351","271"
"AAEL027128","0","1","0","0","1","0","0","1","0","0","4","3","16","0"
"AAEL017987","16","15","16","360","196","255","17","71","30","5","3","19","11","11"
"AAEL007648","3","4","3","1","0","0","1","106","54","4","0","0","11","0"
"AAEL025616","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL007651","117","142","89","359","137","63","196","281","117","178","69","157","64","278"
"AAEL020058","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"AAEL007660","64","78","66","518","210","153","297","553","264","243","431","704","1571","2705"
"AAEL007656","103","84","106","101","18","1","74","81","74","129","290","598","340","368"
"AAEL007650","332","371","420","209","107","70","578","556","487","384","776","1324","628","845"
"AAEL017515","185","242","203","592","160","141","88","183","66","65","344","612","114","143"
"AAEL028085","3","4","1","24","0","0","18","1","0","25","14","36","6","50"
"AAEL007659","1","0","2","439","307","347","141","321","191","272","46","107","412","918"
"AAEL007653","0","0","1","1","0","0","24","12","3","16","7","13","10","26"
"AAEL007658","166","238","215","30","19","37","65","48","2","48","43","40","45","86"
"AAEL007655","35","40","49","0","10","9","34","16","10","19","226","279","195","365"
"AAEL007654","32","19","47","0","9","25","10","7","19","11","32","85","93","131"
"AAEL023139","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"AAEL027380","34","25","30","0","2","5","18","40","18","5","158","214","121","246"
"AAEL022586","8","5","5","2","0","0","3","0","0","0","0","0","0","5"
"AAEL011293","7","8","12","34","14","12","70","131","53","85","88","84","128","241"
"AAEL027190","265","130","322","554","267","405","112","222","70","109","318","522","155","287"
"AAEL020939","3","1","0","17","0","0","0","0","0","4","0","0","0","0"
"AAEL011289","8","11","15","10","7","20","91","161","113","96","19","59","25","66"
"AAEL011288","834","884","823","2173","1245","1222","6210","7783","4214","6282","5228","8019","3371","3556"
"AAEL021597","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"AAEL011287","69","71","103","78","11","38","57","55","11","19","67","125","233","394"
"AAEL024194","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL011292","2","2","1","328","170","74","340","837","303","404","2","1","1","22"
"AAEL012217","235","62","352","2066","2860","1910","206","385","134","232","180","433","103","50"
"AAEL021530","6","11","5","0","2","2","1","0","0","0","0","1","0","0"
"AAEL022631","344","294","373","361","93","251","257","172","55","125","508","618","241","451"
"AAEL026084","184","104","206","2","0","0","0","3","0","0","0","0","0","0"
"AAEL004193","64","130","70","295","16","67","20","24","2","10","43","57","148","191"
"AAEL026599","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL004195","921","1092","905","236","57","60","350","627","428","385","124","147","469","1042"
"AAEL004163","19","15","25","0","10","0","56","55","38","73","22","42","54","80"
"AAEL004155","2","1","0","28","4","0","7","2","0","0","1","9","4","10"
"AAEL020868","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL022285","3841","11263","2165","9881","2887","7674","2596","4719","1483","2072","2227","1939","1161","936"
"AAEL004169","96","183","90","70","80","91","40","14","16","21","35","17","16","24"
"AAEL004180","15","11","29","214","53","59","138","162","87","108","123","139","358","325"
"AAEL004179","1","1","0","48","1","0","0","1","0","0","4","8","2","3"
"AAEL027428","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL027919","1","1","0","3","0","0","0","0","0","0","0","1","0","1"
"AAEL011361","88","81","102","198","10","0","41","12","27","44","64","109","142","170"
"AAEL011359","84","97","116","189","38","69","43","21","15","27","43","68","20","111"
"AAEL024248","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL011355","39","46","48","160","65","37","483","951","446","534","115","209","81","244"
"AAEL023136","9","2","4","0","0","0","0","0","0","0","127","43","28","75"
"AAEL026699","3","1","10","0","0","0","0","0","2","0","137","96","27","60"
"AAEL020364","4","2","0","0","2","0","0","0","0","0","56","37","11","6"
"AAEL011353","43","37","53","86","10","13","63","85","61","90","65","105","197","226"
"AAEL011354","61","48","79","0","1","0","23","36","24","55","132","167","170","205"
"AAEL021866","26","51","52","0","1","0","33","12","53","40","155","139","41","77"
"AAEL011352","27","25","45","1","15","17","52","80","24","63","108","133","119","171"
"AAEL011362","46","29","57","0","7","0","26","13","12","3","105","145","192","314"
"AAEL011356","38","35","30","0","7","23","449","346","187","462","38","70","24","55"
"AAEL011357","148","130","177","50","12","67","101","101","84","62","379","682","122","142"
"AAEL021736","279","313","311","98","28","83","252","245","145","316","873","789","1032","1442"
"AAEL013847","32","22","67","305","27","73","9","15","3","19","19","89","61","81"
"AAEL022710","1","5","1","0","0","0","0","4","0","0","63","106","42","54"
"AAEL004824","6","1","5","668","310","418","335","377","223","303","11","8","18","23"
"AAEL013894","0","0","3","573","333","373","23","48","13","11","8","13","27","180"
"AAEL004809","11","10","17","38","106","113","636","657","362","132","146","198","86","234"
"AAEL018005","0","1","0","0","0","0","0","0","0","0","2","37","0","5"
"AAEL015150","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL015149","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL025000","0","2","1","6","1","3","0","0","1","1","0","0","0","2"
"AAEL014686","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL003353","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL027719","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"AAEL003340","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL003329","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL003341","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"AAEL023867","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL023424","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL023326","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL028203","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL028238","0","0","0","0","0","0","0","0","0","0","6","0","0","0"
"AAEL016969","24","8","29","23","2","0","5","36","6","15","299","268","39","67"
"AAEL025363","660","448","679","830","457","331","372","498","249","414","253","411","256","248"
"AAEL024049","23","31","25","0","0","0","0","0","0","0","12","13","1","2"
"AAEL013844","106","50","143","302","171","176","767","399","310","701","1581","1222","339","252"
"AAEL013842","4","9","8","57","9","28","17","24","17","22","30","101","337","311"
"AAEL013839","25","13","39","49","13","0","16","19","12","26","123","198","426","225"
"AAEL013840","20","50","16","294","297","232","163","123","22","125","43","64","487","540"
"AAEL026649","1","1","0","0","7","25","1","0","0","5","3","0","0","0"
"AAEL024429","56","41","83","81","17","24","37","71","25","33","48","61","35","205"
"AAEL024616","242","197","278","105","60","23","104","115","45","92","104","181","189","272"
"AAEL013841","33","22","35","198","119","73","153","183","130","260","138","258","247","373"
"AAEL012718","0","0","0","0","3","16","3","18","1","5","8","6","28","36"
"AAEL027538","1","0","0","0","3","1","6","0","0","0","0","0","4","1"
"AAEL025291","0","0","0","1","0","0","6","3","0","0","0","0","0","0"
"AAEL021719","0","0","0","3","1","0","0","0","0","0","0","1","0","0"
"AAEL014201","14","9","14","157","98","50","112","189","87","111","121","148","115","225"
"AAEL014198","15","8","22","78","111","43","181","391","146","316","322","444","314","322"
"AAEL022275","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"AAEL012717","0","2","4","0","2","0","0","0","4","0","7","0","7","28"
"AAEL026743","3","1","0","0","1","0","0","3","0","0","5","4","9","32"
"AAEL008299","0","0","0","0","1","0","0","0","0","0","0","1","0","10"
"AAEL021318","121","115","164","0","25","29","36","81","15","45","55","64","110","234"
"AAEL020454","26","23","24","21","1","0","4","4","3","6","6","2","24","21"
"AAEL021032","2","5","6","0","0","0","0","0","0","0","2","0","0","0"
"AAEL015411","61","49","43","0","31","92","122","114","56","107","64","144","61","136"
"AAEL020941","1","0","0","417","120","144","55","9","1","43","8","4","349","206"
"AAEL026955","0","0","0","379","319","444","143","165","53","18","76","90","36","104"
"AAEL022315","4","3","4","0","0","0","6","15","11","17","25","13","2","14"
"AAEL027848","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"AAEL019787","86","82","111","230","140","236","89","54","21","51","45","70","29","28"
"AAEL023238","0","1","3","0","0","0","0","0","0","0","1","0","2","3"
"AAEL019786","0","0","0","0","7","0","0","0","0","0","1","0","0","0"
"AAEL020407","1","0","1","4","0","0","0","0","0","0","30","35","2","0"
"AAEL025204","1","0","0","0","0","0","0","0","0","0","0","2","0","6"
"AAEL010711","180","183","215","200","20","18","136","107","67","89","70","83","119","128"
"AAEL027739","0","0","1","0","0","0","48","68","38","69","2","6","13","12"
"AAEL004404","47","25","38","299","83","143","371","378","246","325","760","629","304","428"
"AAEL022199","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"AAEL026875","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL022108","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL004410","79","65","112","56","7","7","64","73","23","36","46","35","35","77"
"AAEL025130","222","234","315","385","45","91","33","19","26","37","69","173","149","149"
"AAEL024472","0","0","0","1","0","0","0","0","1","0","0","1","0","2"
"AAEL025637","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"AAEL024887","1","1","3","249","88","156","2","8","6","7","0","0","1","15"
"AAEL015586","0","1","0","0","0","0","0","0","0","0","0","0","0","2"
"AAEL012595","147","171","189","30","34","56","79","64","53","24","26","62","58","58"
"AAEL023629","88","66","100","1","85","114","51","33","52","86","209","448","733","857"
"AAEL027209","17","7","16","0","14","27","46","2","33","10","23","35","79","63"
"AAEL023705","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL020236","243","339","374","326","77","210","113","109","64","43","92","241","156","176"
"AAEL028021","176","216","151","479","278","298","176","148","87","177","276","454","268","409"
"AAEL022589","1","3","2","0","0","0","2","9","0","0","3","17","10","31"
"AAEL023940","2","0","1","0","0","0","0","0","0","0","0","1","0","0"
"AAEL027257","0","1","2","137","30","22","4","3","23","3","8","3","1","12"
"AAEL026246","34","9","16","0","0","0","0","0","0","0","0","0","0","0"
"AAEL026973","4","2","2","0","0","0","0","0","0","0","1","0","0","0"
"AAEL025814","54","22","73","0","1","0","0","0","0","0","577","526","0","0"
"AAEL024606","11","14","39","0","0","0","0","0","0","1","0","0","0","0"
"AAEL021277","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL021649","2","4","3","0","0","0","1","0","0","0","2","4","19","46"
"AAEL021022","0","2","0","1191","84","190","4","0","1","1","2","9","25","63"
"AAEL024421","0","1","1","52937","19602","20582","0","2","10","14","18","7","25","40"
"AAEL024497","24","23","25","43","147","334","32","31","19","83","89","109","266","400"
"AAEL025863","2","7","0","0","0","0","0","0","0","0","2","0","12","7"
"AAEL005832","349","390","367","4","16","44","323","449","104","262","167","245","146","282"
"AAEL015458","0","1","1","3813","66","70","1416","6964","2231","3846","220","588","44","11"
"AAEL005826","9","8","14","0","8","17","9","102","25","50","153","178","9","36"
"AAEL005825","77","76","101","223","62","52","211","187","74","133","330","365","273","415"
"AAEL005839","10","16","8","43","51","141","212","245","27","50","99","97","194","251"
"AAEL024997","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AAEL028091","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL020998","137","181","148","528","266","438","162","137","109","65","285","241","622","882"
"AAEL020642","33","23","41","0","10","31","72","25","24","24","96","157","81","290"
"AAEL022930","136","124","149","323","94","132","28","12","34","23","154","171","343","492"
"AAEL021024","29","25","29","0","3","0","4","0","3","1","22","60","19","50"
"AAEL015265","0","0","0","0","0","0","0","0","0","0","8","4","0","19"
"AAEL020714","0","0","0","0","0","0","0","0","0","0","0","0","8","14"
"AAEL015267","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL015079","0","0","0","0","3","0","0","16","0","0","0","0","0","0"
"AAEL015077","17","19","15","84","116","140","34","32","2","12","36","45","27","113"
"AAEL012964","447","499","625","864","206","283","1032","1050","564","985","1479","1986","1187","718"
"AAEL020862","2","0","2","0","0","0","0","0","0","0","1","2","4","7"
"AAEL025329","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"AAEL021816","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"AAEL026256","15","20","26","132","43","24","41","38","6","6","99","259","70","74"
"AAEL011387","21","39","27","3","291","126","129","128","50","111","153","162","290","289"
"AAEL012962","34","40","38","76","20","41","25","66","23","10","85","126","254","487"
"AAEL021162","7","3","23","0","0","17","0","7","0","0","11","3","110","135"
"AAEL019990","1959","3533","2057","424","61","215","401","304","180","239","318","512","593","769"
"AAEL023598","1","6","4","0","0","0","6","0","0","0","3","3","0","3"
"AAEL014720","143","132","187","299","94","120","134","97","79","57","143","201","148","227"
"AAEL022712","40","41","41","35","25","19","71","86","60","113","240","344","181","383"
"AAEL027287","15","13","15","0","6","19","14","68","21","56","311","133","92","117"
"AAEL014719","16","18","13","281","95","94","292","195","142","201","44","134","34","26"
"AAEL026758","14","17","23","1","8","9","27","9","2","0","46","84","114","114"
"AAEL023069","118","135","142","1353","565","607","1068","853","652","862","534","875","1261","1740"
"AAEL026639","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"AAEL013679","60","54","86","2","22","19","103","125","51","107","255","360","304","365"
"AAEL023023","0","1","4","0","0","0","0","0","0","0","0","0","0","0"
"AAEL011728","229","148","245","244","203","64","73","111","31","75","64","114","126","153"
"AAEL011730","0","0","0","7","9","0","0","0","0","1","5","0","1","8"
"AAEL011727","0","0","0","13","60","21","3","0","0","0","0","0","0","0"
"AAEL011718","20","11","19","170","55","74","109","223","140","185","586","606","90","227"
"AAEL022615","4","8","5","0","1","0","6","10","16","13","36","19","22","6"
"AAEL011719","32","24","56","0","12","13","89","115","101","151","322","401","421","453"
"AAEL014389","24","30","32","226","30","42","79","30","83","48","117","169","302","516"
"AAEL023366","1","0","2","0","0","0","0","0","0","0","1","0","0","2"
"AAEL019539","81","54","125","304","70","134","141","139","88","88","166","206","274","697"
"AAEL025601","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AAEL025449","0","6","1","4","0","11","6","3","0","0","0","0","1","0"
"AAEL021676","43","44","57","0","1","27","2","14","0","0","4","13","34","81"
"AAEL015559","1","1","0","90","14","2","20","13","27","26","4","13","4","3"
"AAEL022060","28","18","22","0","6","7","13","22","18","26","125","96","12","51"
"AAEL022855","24","34","36","1","31","112","30","24","17","25","129","161","125","143"
"AAEL015095","0","5","2","0","21","15","7","0","18","25","22","22","11","74"
"AAEL027829","0","0","0","11","26","92","0","15","0","0","9","4","47","151"
"AAEL014551","0","0","1","2","49","2","284","153","146","157","2","5","49","90"
"AAEL020599","0","1","1","237","32","64","0","19","0","0","4","3","38","63"
"AAEL026728","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"AAEL022233","0","0","1","0","0","0","0","0","0","0","0","2","0","0"
"AAEL008118","3","0","0","0","11","0","54","13","8","47","0","3","12","42"
"AAEL008109","0","0","0","1","39","38","36","16","4","21","0","0","26","43"
"AAEL008101","28","41","57","0","11","0","31","22","9","56","85","98","268","367"
"AAEL001008","30","11","26","48","21","24","34","29","20","26","116","304","356","478"
"AAEL002153","1","1","0","0","3","0","0","14","0","0","4","2","55","64"
"AAEL027812","0","0","0","0","0","0","0","0","0","0","0","0","2","10"
"AAEL002159","65","39","56","0","13","34","116","38","40","39","284","441","689","1357"
"AAEL002139","62","55","87","64","7","0","14","23","13","34","111","130","169","213"
"AAEL002175","206","218","205","1665","659","759","354","204","231","309","111","188","608","1426"
"AAEL020161","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL024933","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL002170","52","38","55","92","147","139","626","778","381","756","444","407","274","448"
"AAEL022090","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"AAEL025780","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL021078","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL002158","289","204","291","974","381","462","303","374","242","310","573","777","1326","1092"
"AAEL024183","0","3","0","0","0","0","0","0","0","0","2","0","0","0"
"AAEL002152","164","120","184","267","97","102","33","77","16","39","48","70","152","287"
