"GeneID","SRR1568262","SRR1568263","SRR1568264","SRR6311328","SRR6311361","SRR6311362","SRR6311363","SRR6311364","SRR6311365","SRR6311366","SRR6311393","SRR6311394","SRR6311395","SRR6311396"
"LOC5564427","4","0","5","0","12","0","55","184","107","72","15","27","12","11"
"LOC5564426","94","65","125","1","6","0","5","14","6","21","306","393","95","319"
"LOC110677773","0","0","0","2","10","9","6","106","30","111","27","486","155","788"
"LOC5564429","1","3","0","261","20","0","127","257","177","238","22","33","4","5"
"LOC5564430","0","0","0","1","2","43","8","16","8","7","2","0","0","4"
"LOC5564425","0","0","0","0","1","0","0","6","3","4","1","1","0","13"
"LOC5567607","0","0","0","0","1","0","1","0","9","0","1","6","12","5"
"LOC110677774","3","3","1","0","0","11","13","7","3","6","7","4","1","6"
"LOC5567606","0","0","0","98","45","86","81","401","141","272","3","7","55","154"
"LOC5567605","1","1","1","64","27","14","14","53","27","63","16","46","42","188"
"LOC110679016","0","1","0","0","0","0","0","0","0","0","4","0","0","0"
"LOC5567604","0","0","0","0","1","0","0","0","0","0","0","0","0","14"
"LOC5567603","624","511","788","81","29","56","57","133","76","73","131","215","786","655"
"LOC5579248","2","4","3","328","76","221","23","38","23","22","171","202","30","27"
"LOC110677854","353","590","201","0","0","0","0","0","0","0","0","0","0","0"
"LOC110679678","1","5","0","73","63","49","7","14","3","9","136","135","3","37"
"LOC110679512","0","0","0","72","0","0","0","0","0","0","1","5","1367","3301"
"LOC110679879","0","0","1","0","0","0","0","0","0","0","3","2","723","1578"
"LOC5567598","14","41","6","177","29","124","18","31","27","17","1","0","17","10"
"LOC5576804","0","0","0","0","0","0","0","0","14","0","0","0","0","1"
"LOC110679382","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110679471","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5576807","0","0","0","0","0","0","7","21","41","1","0","0","18","15"
"LOC110679536","0","0","0","21","0","0","0","1","0","0","0","0","894","858"
"LOC5576808","4","5","0","67","27","4","12","26","2","5","0","2","1","5"
"LOC110679647","0","0","0","0","0","0","0","0","1","0","0","3","0","0"
"LOC5569647","6","15","6","0","4","0","27","27","27","18","169","222","178","165"
"LOC5569649","692","795","672","0","18","13","99","23","22","82","39","40","75","185"
"LOC5569648","179","145","232","170","7","43","88","109","83","81","246","283","766","1272"
"LOC5569651","335","233","450","24","111","172","70","36","22","17","331","528","126","230"
"LOC5569650","147","93","169","0","6","24","60","47","37","61","276","312","220","246"
"LOC5569652","1160","871","1536","145","56","138","257","184","165","225","1224","1735","1257","1945"
"LOC110674001","0","0","0","295","12","64","2","0","3","0","1","0","5","20"
"LOC5569654","6","10","8","785","207","333","33","28","49","42","6","13","0","12"
"LOC110679416","0","1","0","0","0","0","8","33","6","9","1","2","1","8"
"LOC5569655","158","207","182","351","111","234","262","223","131","233","218","337","402","625"
"LOC5569656","19","23","23","535","89","163","181","120","59","41","82","66","90","81"
"LOC110678774","2","2","1","0","0","8","0","0","0","0","0","0","7","0"
"LOC110678775","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"LOC5569658","4","6","1","9713","4871","5503","897","1188","795","910","103","140","1040","2092"
"LOC5569659","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5569669","0","0","0","67","61","123","1","0","0","0","10","26","12","13"
"LOC110679125","14","12","16","0","0","0","21","21","13","33","64","49","117","140"
"LOC5569660","31","38","15","63","9","38","102","110","59","94","223","112","51","165"
"LOC5569661","2","2","5","1","12","1","185","256","165","305","26","33","188","99"
"LOC5569662","3","4","1","125","63","128","0","0","0","0","1","6","0","0"
"LOC5569663","3","1","0","1311","816","628","0","0","2","0","25","30","206","203"
"LOC5569664","0","1","0","4265","4080","2439","0","0","4","13","13","11","156","200"
"LOC110677845","0","0","0","1","16","40","0","0","0","0","0","1","2","0"
"LOC5569665","1","1","2","0","1","0","68","81","48","150","0","0","1","13"
"LOC5569666","7","18","16","4","55","26","158","358","60","83","137","170","173","89"
"LOC5577945","13","6","8","2","12","9","36","49","31","34","15","9","36","80"
"LOC110677684","4","0","5","0","0","0","0","0","0","0","42","6","0","3"
"LOC110677686","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"LOC23687919","195","220","176","306","138","207","138","115","127","114","175","299","436","773"
"LOC110677685","31","27","34","45","18","43","131","117","122","170","612","410","24","50"
"LOC5577947","461","609","540","2247","691","2465","267","355","215","198","225","393","709","911"
"LOC5577948","49","38","64","0","1","9","25","17","10","16","849","496","58","119"
"LOC110678983","21","27","26","318","178","420","71","91","31","79","302","160","140","232"
"LOC110678984","17","11","11","0","9","0","10","27","8","20","38","53","40","73"
"LOC5577949","0","1","2","0","4","0","4","0","0","13","18","23","47","84"
"LOC5577951","1","2","5","1","11","18","51","475","209","177","513","432","36","99"
"LOC5577952","30","23","24","2","0","0","0","0","0","0","619","348","14","62"
"LOC5564180","11","28","15","0","0","0","0","0","0","0","6","2","12","4"
"LOC5564170","96","74","98","0","0","0","2","0","0","0","97","69","47","95"
"LOC110678972","0","0","1","0","0","0","0","0","0","0","27","39","1","0"
"LOC5564183","866","1017","852","615","282","438","131","49","20","43","329","415","412","768"
"LOC5564182","26","67","27","357","108","156","91","159","71","101","81","129","109","237"
"LOC110679208","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5564179","365","608","382","472","266","354","230","206","162","310","268","418","865","1348"
"LOC5564157","75","114","109","165","23","5","162","148","80","85","273","598","230","782"
"LOC110679396","7","9","5","64","1","10","14","23","14","24","27","7","17","29"
"LOC110679397","11","4","17","95","4","24","5","20","3","4","30","10","4","19"
"LOC5564160","55","38","69","192","69","17","65","74","27","44","179","305","207","324"
"LOC5564181","81","122","138","97","66","192","38","48","28","29","336","377","46","283"
"LOC5564156","0","1","0","1","7","14","235","49","41","87","7","4","48","36"
"LOC5564158","72","54","88","290","56","31","343","509","259","329","153","238","428","240"
"LOC5564163","167","171","190","117","72","118","197","180","64","86","158","161","158","375"
"LOC110678024","1","3","5","20","0","0","8","27","4","23","6","8","2","32"
"LOC5564166","7","2","3","81","12","6","202","287","102","164","27","31","48","45"
"LOC5564172","33","33","59","153","96","115","79","41","21","49","80","131","36","161"
"LOC110677929","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5564176","93","67","155","5","3","56","41","40","49","49","196","350","96","239"
"LOC110678123","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110678833","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"LOC110678679","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"LOC110678943","0","4","0","24","1","0","1","0","1","1","2","0","0","3"
"LOC5564171","67","45","89","79","6","1","12","0","12","0","144","166","334","636"
"LOC5564168","19","9","29","0","1","0","7","18","3","16","98","151","104","138"
"LOC110678615","0","0","0","5","0","0","0","0","0","0","0","0","3","18"
